1,病例,510
2,检验,494
3,疫情,467
4,新冠,365
5,确诊,359
6,10,339
7,一个,304
8,患者,284
9,肺炎,279
10,小区,273
11,东西湖区,253
12,结果,247
13,有效,247
14,就是,247
15,这个,247
16,曹彬,247
17,出现,237
18,检测,227
19,##,219
20,隔离,212
21,新增,211
22,我们,210
23,长青,195
24,某某,191
25,中国,190
26,辛普森,190
27,悖论,190
28,临床,190
29,人数,188
30,比较,171
31,录取率,171
32,如果,170
33,风险,166
34,美国,160
35,三民,155
36,暴风雪,155
37,无症状,154
38,因为,151
39,申请,146
40,没有,143
41,武汉,138
42,可以,135
43,视频,134
44,20,133
45,核酸,133
46,阳性,133
47,人民,133
48,得出,133
49,无效,133
50,问题,133
51,男生,133
52,女生,133
53,最后,133
54,对照组,133
55,女人,133
56,疾病,133
57,病毒,130
58,时间,129
59,纽约,127
60,数据,119
61,情况,119
62,来自,119
63,民众,119
64,感染者,115
65,不是,115
66,确认,114
67,结论,114
68,很多,114
69,男人,114
70,文史哲,114
71,报告,110
72,症状,109
73,白宫,108
74,不够,107
75,抗疫,104
76,袭击,100
77,长春,100
78,需要,98
79,人员,98
80,住址,95
81,日本,95
82,希望,95
83,因素,95
84,一定,95
85,加快,95
86,还有,95
87,理工科,95
88,治疗,95
89,两个,94
90,措施,93
91,社区,91
92,工作,91
93,新加坡,90
94,11,88
95,甚至,88
96,全球,83
97,威胁,81
98,安排,80
99,武汉市,79
100,市场,78
101,海外,77
102,日记,77
103,人群,76
104,一些,76
105,不定,76
106,NIH,76
107,当然,76
108,比如,76
109,三个,76
110,那么,76
111,解释,76
112,前面,76
113,原因,76
114,表格,76
115,调整,75
116,舒兰市,75
117,国家,71
118,正在,68
119,进行,67
120,发布,65
121,00,65
122,社交,64
123,距离,64
124,反常,62
125,罕见,62
126,双重,62
127,生活,62
128,陷入困境,62
129,吉林市,60
130,丰满区,60
131,一律,60
132,微博,59
133,同一,59
134,卫健委,59
135,同一个,58
136,加拿大,57
137,表示,57
138,当日,57
139,作为,57
140,网页,57
141,链接,57
142,各种,57
143,等等,57
144,避免,57
145,为什么,57
146,Remdesivir,57
147,有人,57
148,是因为,57
149,对甲,57
150,效果,57
151,足够,57
152,数字,57
153,统计,57
154,意义,57
155,大学,57
156,论断,57
157,可能,57
158,平均,57
159,或者,57
160,队员,57
161,虽然,57
162,差距,57
163,药效,57
164,有些,57
165,但是,57
166,这种,57
167,疗效,57
168,来说,57
169,不能,57
170,他们,57
171,只是,57
172,文章,57
173,几十个,57
174,每个,57
175,用药,57
176,分组,57
177,篇文章,57
178,贝克莱,57
179,聘用,57
180,个人,57
181,理工,57
182,文史,57
183,容易,57
184,定式,57
185,方面,56
186,小组,56
187,蔓延,55
188,等级,55
189,舒兰,55
190,消息,55
191,24,54
192,公布,54
193,按照,54
194,标准,54
195,永久,54
196,居民,54
197,传染,54
198,男子,54
199,经济,54
200,顾问,54
201,其中,53
202,口罩,53
203,18,52
204,开放,52
205,2020,51
206,纽约州,50
207,吉林省,50
208,封闭,49
209,叫停,49
210,超过,48
211,国际,47
212,防控,46
213,复学,45
214,部分,44
215,显示,43
216,本身,43
217,16,42
218,这些,42
219,那些,42
220,市政府,41
221,感染,41
222,返长,40
223,21,40
224,例新冠,40
225,工委,40
226,书记,40
227,中共,40
228,通报,39
229,不力,39
230,单独,39
231,肯定,39
232,延长,39
233,阿萨,39
234,云警,39
235,上将,39
236,商贩,39
237,川崎,38
238,家长,38
239,...,38
240,妻子,38
241,丈夫,38
242,密切接触,38
243,医院,38
244,就诊,38
245,观察,38
246,谎言,38
247,声援,38
248,政客,38
249,声音,38
250,科学,38
251,拘留所,38
252,尽量,38
253,拘留,38
254,一旦,38
255,大规模,38
256,流行,38
257,应该,38
258,自己,38
259,CGTN,38
260,居家,38
261,登记,38
262,精油,38
263,今天,38
264,相反,38
265,怎么,38
266,是否,38
267,那样,38
268,影响,38
269,或许,38
270,大多数,38
271,整体,38
272,下文,38
273,简称,38
274,政治,38
275,假设,38
276,抽查,38
277,抽到,38
278,差不多,38
279,忽略,38
280,程度,38
281,300,38
282,具体,38
283,明显,38
284,神药,38
285,治愈,38
286,死亡率,38
287,也就是说,38
288,两天,38
289,痊愈,38
290,有用,38
291,必须,38
292,本来,38
293,意思,38
294,一本,38
295,一种,38
296,配方,38
297,别的,38
298,能够,38
299,讨论,38
300,什么,38
301,8%,38
302,达到,38
303,不出,38
304,一样,38
305,一部分,38
306,回头,38
307,分成,38
308,歧视,38
309,一下,38
310,75%,38
311,50%,38
312,下面,38
313,分类,38
314,比例,38
315,申请人,38
316,录取,38
317,相当于,38
318,考试成绩,38
319,大部分,38
320,乙班,38
321,著名,38
322,形象,38
323,老顽固,38
324,一组,38
325,方法,38
326,出来,38
327,最大,38
328,糖尿病,38
329,高血压,38
330,热度,38
331,很长,38
332,下来,38
333,辛苦,38
334,同时,37
335,应对,37
336,战疫,37
337,特别,37
338,直播,37
339,报道,36
340,公民,36
341,输入,36
342,新加坡籍,36
343,有关,36
344,死亡,36
345,接连,36
346,上班,36
347,吉林,35
348,本地,35
349,分区,35
350,分级,35
351,管控,35
352,高风险,35
353,实行,35
354,12,35
355,管理,35
356,所有,34
357,已经,34
358,新闻,34
359,英国,34
360,解封,34
361,路线图,34
362,巴西,34
363,南非,34
364,印度,34
365,视点,34
366,防疫,32
367,发现,32
368,另外,32
369,要求,32
370,市长,31
371,随着,31
372,夏天,31
373,日益,31
374,临近,31
375,一场,31
376,突然袭击,31
377,这场,31
378,源自,31
379,极地,31
380,冷空气,31
381,南下,31
382,气象局,31
383,地区,31
384,降雪量,31
385,突如其来,31
386,加上,31
387,纷纷,31
388,感慨,31
389,真是,31
390,困难,31
391,下午,31
392,此地,30
393,又现,30
394,传播,30
395,目前,30
396,19,26
397,泰国,26
398,曼谷市,26
399,视察,26
400,人流量,26
401,保持,26
402,17,26
403,严格遵守,26
404,世界,25
405,爆发,24
406,46,24
407,规定,23
408,数量,23
409,63,22
410,形势,21
411,关注,21
412,政府,21
413,近日,21
414,执法,20
415,公告,20
416,长春市,20
417,领导小组,20
418,发布公告,20
419,集中,20
420,14,20
421,村屯,20
422,前期工作,20
423,基础,20
424,上于,20
425,时前,20
426,完成,20
427,辖区,20
428,摸底,20
429,排查,20
430,湖北,20
431,时至,20
432,全省,20
433,聚焦,20
434,京报,20
435,免职,20
436,官网,20
437,封控,20
438,多起,20
439,决定,20
440,免去,20
441,张宇,20
442,同志,20
443,委员,20
444,职务,20
445,昨日,20
446,89,20
447,儿童,19
448,魁省,19
449,即将,19
450,开学,19
451,三思,19
452,73,19
453,蒙特利尔,19
454,警惕,19
455,悄悄,19
456,魁北克,19
457,单蓓,19
458,Brenda,19
459,Montreal,19
460,81,19
461,我市,19
462,76,19
463,身体,19
464,不适,19
465,工作人员,19
466,陪同,19
467,72,19
468,重点,19
469,29,19
470,头晕,19
471,乏力,19
472,日到,19
473,真相,19
474,公道,19
475,人心,19
476,有识之士,19
477,近期,19
478,西方,19
479,媒体,19
480,转移,19
481,国内,19
482,甩锅,19
483,编造,19
484,匪夷所思,19
485,与此同时,19
486,一股,19
487,集结,19
488,国政,19
489,组织,19
490,负责人,19
491,专家学者,19
492,理性,19
493,驳斥,19
494,阴谋论,19
495,发声,19
496,多方,19
497,转发,19
498,传递,19
499,东京,19
500,新宿,19
501,发生,19
502,多次,19
503,多人,19
504,暂时,19
505,使用,19
506,日辩,19
507,呼吁,19
508,回避,19
509,早点儿,19
510,释放,19
511,嫌疑人,19
512,家中,19
513,审理,19
514,病毒传播,19
515,大白,19
516,笼子,19
517,第一次,19
518,大阪,19
519,博主,19
520,感叹,19
521,艾滋,19
522,H1N1,19
523,再到,19
524,欧美,19
525,学习,19
526,锅来,19
527,掩饰,19
528,无能,19
529,生命,19
530,财政,19
531,军队,19
532,企业,19
533,强国,19
534,表象,19
535,放在,19
536,第一位,19
537,2018,19
538,讲过,19
539,科技,19
540,袁人,19
541,永远,19
542,不要,19
543,数学,19
544,辩论,19
545,原创,19
546,最近,19
547,争议,19
548,赋予,19
549,厚望,19
550,又名,19
551,不同,19
552,不像,19
553,精准,19
554,答案,19
555,受到,19
556,明天,19
557,不过,19
558,真的,19
559,主导,19
560,看看,19
561,牵涉到,19
562,领头,19
563,卫生局,19
564,不会,19
565,不谈,19
566,只谈,19
567,说话,19
568,第一个,19
569,重要,19
570,规模,19
571,参加,19
572,237,19
573,1063,19
574,其他,19
575,条件,19
576,相同,19
577,可信度,19
578,才能,19
579,干扰,19
580,随机,19
581,校园,19
582,一不小心,19
583,女篮,19
584,女排,19
585,可能性,19
586,小到,19
587,基本上,19
588,多少,19
589,实际,19
590,大小,19
591,男子篮球,19
592,女子,19
593,体操,19
594,很少,19
595,可惜,19
596,寄予厚望,19
597,药到病除,19
598,而是,19
599,抑制作用,19
600,减少,19
601,四天,19
602,七天,19
603,变慢,19
604,验证,19
605,很大,19
606,的话,19
607,以为,19
608,清华,19
609,强效,19
610,只能,19
611,所以,19
612,严格,19
613,起来,19
614,根本,19
615,发表,19
616,中间,19
617,强调,19
618,准确,19
619,判断,19
620,实验,19
621,有趣,19
622,持续,19
623,时候,19
624,不到,19
625,听到,19
626,一段时间,19
627,百个,19
628,包括,19
629,中药,19
630,豆浆,19
631,双黄,19
632,之类,19
633,而且,19
634,大家,19
635,讽刺,19
636,真正,19
637,散剂,19
638,找够,19
639,99%,19
640,里面,19
641,这里,19
642,成事不足,19
643,败事有余,19
644,组是,19
645,11%,19
646,区别,19
647,statistical,19
648,significance,19
649,关于,19
650,药物,19
651,其它,19
652,定义,19
653,打分,19
654,系统,19
655,直接,19
656,展开,19
657,一说,19
658,实际上,19
659,标题,19
660,药检,19
661,关系,19
662,甲乙,19
663,比乙强,19
664,比甲强,19
665,现实生活,19
666,有名,19
667,例子,19
668,性别歧视,19
669,起诉,19
670,妇女,19
671,学校,19
672,后来,19
673,校方,19
674,给出,19
675,全校,19
676,总数,19
677,来看,19
678,系里,19
679,麻烦,19
680,化简,19
681,便于,19
682,总共,19
683,教学,19
684,15,19
685,男士,19
686,女士,19
687,表面,19
688,仔细,19
689,中有,19
690,反之,19
691,只有,19
692,总结,19
693,16414187.5%,19
694,25%,19
695,41646100%,19
696,37.5%,19
697,看出,19
698,不论是,19
699,还是,19
700,却是,19
701,僧多粥少,19
702,两份,19
703,试卷,19
704,一难,19
705,一易,19
706,甲班,19
707,选难,19
708,用来,19
709,说明,19
710,改卷,19
711,老师,19
712,苛刻,19
713,图片说明,19
714,连续剧,19
715,家喻户晓,19
716,其他人,19
717,图片,19
718,组合,19
719,结构,19
720,贴切,19
721,说到底,19
722,产生,19
723,样本分布,19
724,不均,19
725,分布,19
726,主要,19
727,几乎,19
728,所用,19
729,两组,19
730,另一组,19
731,组与,19
732,心理作用,19
733,吃药,19
734,只不过,19
735,假药,19
736,任何,19
737,作用,19
738,替代品,19
739,截图,19
740,表明,19
741,资料,19
742,因新冠,19
743,90%,19
744,以上,19
745,危险,19
746,心血管,19
747,呼吸道,19
748,看一看,19
749,上面,19
750,心血管病,19
751,百分比,19
752,4%,19
753,不可,19
754,后面,19
755,一条,19
756,呼吸,19
757,急促,19
758,9%,19
759,157,19
760,6%,19
761,每种,19
762,多出,19
763,高险,19
764,病人,19
765,考虑,19
766,交集,19
767,少数,19
768,严重,19
769,提法,19
770,考试,19
771,卷子,19
772,优势,19
773,利用,19
774,热门话题,19
775,普及,19
776,通常,19
777,所说,19
778,进来,19
779,觉得,19
780,学到,19
781,一点,19
782,知识,19
783,搞清楚,19
784,目的,19
785,以前,19
786,棋手,19
787,大竹,19
788,英雄,19
789,围棋,19
790,大型,19
791,这段话,19
792,做文章,19
793,结尾,19
794,详细情况,18
795,之前,18
796,群有,18
797,关联,18
798,22872,18
799,61,18
800,卡塔尔,18
801,返回,18
802,接获,18
803,通知,18
804,指定,18
805,地点,18
806,22966,18
807,49,18
808,741,18
809,接触,18
810,慕斯达法,18
811,购物中心,18
812,出炉,18
813,血清学,18
814,结果显示,18
815,23146,18
816,Acacia,18
817,Home,18
818,收容所,18
819,住户,18
820,害怕,18
821,全时区,18
822,特朗普,18
823,办公,18
824,上周,18
825,美国白宫,18
826,多名,18
827,高官,18
828,宣布,18
829,自我,18
830,引发,18
831,美国政府,18
832,内部,18
833,人心惶惶,18
834,塞特,18
835,Kevin,18
836,Hassett,18
837,当地,18
838,承认,18
839,可怕,18
840,挨家挨户,18
841,一家,18
842,家里,18
843,成员,18
844,布制,18
845,十次,18
846,法国,18
847,多个,17
848,英国首相,17
849,发展,17
850,迅速,17
851,过万,17
852,破万,17
853,孟买,17
854,贫民窟,17
855,堪忧,17
856,记者,17
857,发来,17
858,现场报道,17
859,新华,17
860,飞机,16
861,31,15
862,个省,15
863,自治区,15
864,直辖市,15
865,新疆生产建设兵团,15
866,本土,15
867,湖北省,15
868,吉林省政府,15
869,新闻办,15
870,官方,15
871,微信,15
872,省市,15
873,三级,15
874,第一,15
875,采取,15
876,如下,15
877,原则上,15
878,高三,15
879,初三,15
880,年级,15
881,学生,15
882,恢复,15
883,网上,15
884,授课,15
885,模式,15
886,综合,15
887,热点,15
888,海客,15
889,曼谷,13
890,评估,13
891,视察工作,13
892,结束,13
893,第二天,13
894,2000,13
895,人次,13
896,左右,13
897,平时,13
898,每日,13
899,万人次,13
900,因此,13
901,下令,13
902,相关,13
903,部门,13
904,划分,13
905,警戒线,13
906,原来,13
907,期间,13
908,现在,13
909,进入,13
910,热季,13
911,傍晚,13
912,购物,13
913,勤洗手,13
914,对于,13
915,商铺,13
916,警告,13
917,为主,13
918,交通部,13
919,免除,13
920,租金,13
921,提供,13
922,救助,13
923,市民,11
924,违反,10
925,进一步,10
926,加强,10
927,公园,10
928,人流,10
929,警力,10
930,航空,8
931,下降,8
932,停飞,8
933,非裔,5
934,西裔,5
935,纽约市,5
936,警察局,5
937,第二轮,5
938,针对,5
939,自新冠,5
940,以来,5
941,处罚,5
942,绝大部分,5
943,是非,5
944,西班牙,5
945,男性,5
946,当局,5
947,白思豪称,5
948,力度,5
949,曼哈顿,5
950,西侧,5
951,哈德逊,5
952,45,5
953,码头,5
954,实施,5
955,限制,5
956,增加,5
957,布鲁克林,5
958,多米诺,5
959,监测,5
960,执行,5
961,保护,5
962,安全,5
963,动用,5
964,强制执行,5
965,法规,5
966,令人,5
967,难过,5
968,事情,5
969,采取措施,5
970,确保,5
971,各个,5
972,过程,5
973,得到,5
974,公平,5
975,对待,5
976,凤凰卫视,5
977,陈卿,5
978,江广富,5
979,地方,5
980,香港,5
981,摧毁,4
982,航空业,4
983,旅行,4
984,去年,4
985,相比,4
986,95,4
987,航班,4
988,000,4
989,商用,4
990,不仅,4
991,闲置,4
992,例行,4
993,维护,4
994,存放,4
995,突然,4
996,成千上万,4
997,无处可去,4
998,成为,4
999,后勤,4
1000,噩梦,4
1001,介绍,4
1002,航空公司,4
1003,如何,4
1004,停放,4
1005,数千架,4
1006,以及,4
1007,机队,4
1008,前景,4
1009,新型,4
1010,冠状病毒,4
1011,行动,4
1012,事儿,4
1013,400,4
1014,架飞机,4
1015,停满,4
1016,荒漠,4
1017,环游,4
1018,Philbook,4
1019,政治化,3
1020,月,3
1021,有r,2
1022,楣,2
1023,做事,2
1024,周身,2
1025,指出,2
1026,特^,1
1027,派l,1
1028,~芯,1
1029,lX,1
1030,@N,1
1031,事前,1
1032,保密,1
1033,生a,1
1034,重用,1
1035,提前,1
1036,曝光,1
1037,影,1
1038,物料,1
1039,供,1
1040,黑箱,1
1041,作I,1
1042,So,1
1043,利益,1
1044,除了,1
1045,h,1
1046,拉布,1
1047,,1
1048,面前,1
1049,r路,1
1050,及,1
1051,⑹,1
1052,全港,1
